t=0, n=2, r=0, m=1, rp=0 ---------> -0.000118239
t=1, n=2, r=0, m=1, rp=0 ---------> -2.14733e-05
t=0, n=3, r=0, m=1, rp=0 ---------> -0.000122177
t=1, n=3, r=0, m=1, rp=0 ---------> -0.000242137
t=0, n=4, r=0, m=1, rp=0 ---------> -0.000163131
t=1, n=4, r=0, m=1, rp=0 ---------> -0.00013575
t=0, n=5, r=0, m=1, rp=0 ---------> -0.000169284
t=1, n=5, r=0, m=1, rp=0 ---------> -0.000248085
t=0, n=6, r=0, m=1, rp=0 ---------> -0.000151951
t=1, n=6, r=0, m=1, rp=0 ---------> -0.0002524
t=0, n=7, r=0, m=1, rp=0 ---------> -9.1006e-05
t=1, n=7, r=0, m=1, rp=0 ---------> -0.000166645
t=0, n=8, r=0, m=1, rp=0 ---------> -0.000142242
t=1, n=8, r=0, m=1, rp=0 ---------> -0.000166534
t=0, n=9, r=0, m=1, rp=0 ---------> -0.000220667
t=1, n=9, r=0, m=1, rp=0 ---------> -0.000134316
t=0, n=10, r=0, m=1, rp=0 ---------> -8.2395e-05
t=1, n=10, r=0, m=1, rp=0 ---------> -0.000165018
t=0, n=11, r=0, m=1, rp=0 ---------> -0.000219338
t=1, n=11, r=0, m=1, rp=0 ---------> -3.22347e-05
t=0, n=12, r=0, m=1, rp=0 ---------> -0.000128272
t=1, n=12, r=0, m=1, rp=0 ---------> -0.000127527
t=0, n=13, r=0, m=1, rp=0 ---------> -5.76621e-05
t=1, n=13, r=0, m=1, rp=0 ---------> -1.57731e-05
t=0, n=14, r=0, m=1, rp=0 ---------> -0.000217339
t=1, n=14, r=0, m=1, rp=0 ---------> -5.2124e-05
t=0, n=15, r=0, m=1, rp=0 ---------> -0.000194532
t=1, n=15, r=0, m=1, rp=0 ---------> -0.000236364
t=0, n=16, r=0, m=1, rp=0 ---------> -5.10893e-05
t=1, n=16, r=0, m=1, rp=0 ---------> -0.000234285
t=0, n=17, r=0, m=1, rp=0 ---------> -0.00019672
t=1, n=17, r=0, m=1, rp=0 ---------> 5.62505e-05
t=0, n=18, r=0, m=1, rp=0 ---------> -0.000188493
t=1, n=18, r=0, m=1, rp=0 ---------> -7.17668e-05
t=0, n=19, r=0, m=1, rp=0 ---------> -0.000126623
t=1, n=19, r=0, m=1, rp=0 ---------> -9.00705e-05
t=0, n=20, r=0, m=1, rp=0 ---------> -0.000126892
t=1, n=20, r=0, m=1, rp=0 ---------> -0.000207503
t=0, n=21, r=0, m=1, rp=0 ---------> -0.000108741
t=1, n=21, r=0, m=1, rp=0 ---------> -7.76884e-05
t=0, n=22, r=0, m=1, rp=0 ---------> -0.000268412
t=1, n=22, r=0, m=1, rp=0 ---------> -0.000353271
t=0, n=23, r=0, m=1, rp=0 ---------> -7.46639e-05
t=1, n=23, r=0, m=1, rp=0 ---------> -1.20946e-05
t=0, n=24, r=0, m=1, rp=0 ---------> -0.000278733
t=1, n=24, r=0, m=1, rp=0 ---------> -0.000407608
t=0, n=25, r=0, m=1, rp=0 ---------> -0.000154702
t=1, n=25, r=0, m=1, rp=0 ---------> -0.000242182
t=0, n=26, r=0, m=1, rp=0 ---------> -0.000142967
t=1, n=26, r=0, m=1, rp=0 ---------> -5.89003e-05
t=0, n=27, r=0, m=1, rp=0 ---------> -0.000140992
t=1, n=27, r=0, m=1, rp=0 ---------> -0.000108003
t=0, n=28, r=0, m=1, rp=0 ---------> -0.000189326
t=1, n=28, r=0, m=1, rp=0 ---------> -0.000317685
t=0, n=29, r=0, m=1, rp=0 ---------> -0.000160797
t=1, n=29, r=0, m=1, rp=0 ---------> -8.85203e-05
t=0, n=30, r=0, m=1, rp=0 ---------> -0.000300963
t=1, n=30, r=0, m=1, rp=0 ---------> -0.000146117
t=0, n=31, r=0, m=1, rp=0 ---------> -0.000209503
t=1, n=31, r=0, m=1, rp=0 ---------> -7.04587e-05
t=0, n=32, r=0, m=1, rp=0 ---------> -0.000185597
t=1, n=32, r=0, m=1, rp=0 ---------> -0.000244496
t=0, n=33, r=0, m=1, rp=0 ---------> -9.41886e-05
t=1, n=33, r=0, m=1, rp=0 ---------> 6.21653e-05
t=0, n=34, r=0, m=1, rp=0 ---------> -0.000206604
