t=1, n=21, m=4, rp=0 ---------> 0
t=0, n=22, m=4, rp=0 ---------> 0
t=1, n=22, m=4, rp=0 ---------> 0
t=0, n=23, m=4, rp=0 ---------> 1.04784e-309
t=1, n=23, m=4, rp=0 ---------> 0
t=0, n=24, m=4, rp=0 ---------> 1.04784e-309
t=1, n=24, m=4, rp=0 ---------> 0
t=0, n=25, m=4, rp=0 ---------> 1.04784e-309
t=1, n=25, m=4, rp=0 ---------> 0
t=0, n=26, m=4, rp=0 ---------> 1.04784e-309
t=1, n=26, m=4, rp=0 ---------> 0
t=0, n=27, m=4, rp=0 ---------> 1.04784e-309
t=1, n=27, m=4, rp=0 ---------> 0
t=0, n=28, m=4, rp=0 ---------> 1.04784e-309
t=1, n=28, m=4, rp=0 ---------> 0
t=0, n=29, m=4, rp=0 ---------> 1.04784e-309
t=1, n=29, m=4, rp=0 ---------> 0
t=0, n=30, m=4, rp=0 ---------> 1.04784e-309
t=1, n=30, m=4, rp=0 ---------> 0
t=0, n=31, m=4, rp=0 ---------> 1.04784e-309
t=1, n=31, m=4, rp=0 ---------> 0
t=0, n=32, m=4, rp=0 ---------> 1.04784e-309
t=1, n=32, m=4, rp=0 ---------> 0
t=0, n=33, m=4, rp=0 ---------> 1.04784e-309
t=1, n=33, m=4, rp=0 ---------> 0
t=0, n=34, m=4, rp=0 ---------> 1.04784e-309
t=1, n=34, m=4, rp=0 ---------> 0
t=0, n=35, m=4, rp=0 ---------> 1.04784e-309
t=1, n=35, m=4, rp=0 ---------> 0
t=0, n=36, m=4, rp=0 ---------> 1.04784e-309
t=1, n=36, m=4, rp=0 ---------> 0
t=0, n=37, m=4, rp=0 ---------> 1.04784e-309
t=1, n=37, m=4, rp=0 ---------> 0
t=0, n=38, m=4, rp=0 ---------> 1.04784e-309
t=1, n=38, m=4, rp=0 ---------> 0
t=0, n=39, m=4, rp=0 ---------> 1.04784e-309
t=1, n=39, m=4, rp=0 ---------> 0
t=0, n=40, m=4, rp=0 ---------> 1.04784e-309
t=1, n=40, m=4, rp=0 ---------> 0
t=0, n=41, m=4, rp=0 ---------> 1.04784e-309
t=1, n=41, m=4, rp=0 ---------> 0
t=0, n=42, m=4, rp=0 ---------> 1.04784e-309
