t=1, n=23, m=3, rp=0 ---------> 5.12415e+10
t=0, n=24, m=3, rp=0 ---------> -1.14865e+12
t=1, n=24, m=3, rp=0 ---------> 3.85411e+11
t=0, n=25, m=3, rp=0 ---------> -6.9633e+11
t=1, n=25, m=3, rp=0 ---------> 4.58196e+11
t=0, n=26, m=3, rp=0 ---------> -4.45985e+11
t=1, n=26, m=3, rp=0 ---------> -3.96598e+10
t=0, n=27, m=3, rp=0 ---------> -4.73984e+11
t=1, n=27, m=3, rp=0 ---------> 1.74846e+11
t=0, n=28, m=3, rp=0 ---------> -8.22088e+11
t=1, n=28, m=3, rp=0 ---------> 6.61826e+11
t=0, n=29, m=3, rp=0 ---------> -5.23409e+11
t=1, n=29, m=3, rp=0 ---------> 3.93586e+10
t=0, n=30, m=3, rp=0 ---------> -6.07697e+11
t=1, n=30, m=3, rp=0 ---------> 5.85272e+11
t=0, n=31, m=3, rp=0 ---------> -3.15548e+11
t=1, n=31, m=3, rp=0 ---------> 6.38129e+10
t=0, n=32, m=3, rp=0 ---------> -6.62052e+11
t=1, n=32, m=3, rp=0 ---------> 3.21206e+11
t=0, n=33, m=3, rp=0 ---------> -5.73873e+10
t=1, n=33, m=3, rp=0 ---------> 4.15834e+10
t=0, n=34, m=3, rp=0 ---------> -4.98604e+11
t=1, n=34, m=3, rp=0 ---------> -7.78919e+10
t=0, n=35, m=3, rp=0 ---------> -2.17457e+11
t=1, n=35, m=3, rp=0 ---------> 1.01225e+11
t=0, n=36, m=3, rp=0 ---------> -3.63114e+11
t=1, n=36, m=3, rp=0 ---------> 4.11455e+10
t=0, n=37, m=3, rp=0 ---------> -4.39715e+11
t=1, n=37, m=3, rp=0 ---------> 3.2547e+11
t=0, n=38, m=3, rp=0 ---------> -6.20345e+11
t=1, n=38, m=3, rp=0 ---------> 3.86902e+11
t=0, n=39, m=3, rp=0 ---------> -5.0358e+11
t=1, n=39, m=3, rp=0 ---------> 2.2817e+11
t=0, n=40, m=3, rp=0 ---------> -3.51655e+11
t=1, n=40, m=3, rp=0 ---------> 2.87306e+11
t=0, n=41, m=3, rp=0 ---------> -6.2388e+11
t=1, n=41, m=3, rp=0 ---------> 3.67861e+11
t=0, n=42, m=3, rp=0 ---------> -6.5823e+11
t=1, n=42, m=3, rp=0 ---------> 2.36553e+11
t=0, n=43, m=3, rp=0 ---------> -3.75996e+11
t=1, n=43, m=3, rp=0 ---------> 1.60877e+11
t=0, n=44, m=3, rp=0 ---------> -3.27443e+10
t=1, n=44, m=3, rp=0 ---------> -8.7135e+09
t=0, n=45, m=3, rp=0 ---------> -3.45499e+10
t=1, n=45, m=3, rp=0 ---------> -3.46766e+10
t=0, n=0, m=4, rp=0 ---------> 49380
t=1, n=0, m=4, rp=0 ---------> 49380
t=0, n=1, m=4, rp=0 ---------> 49380
t=1, n=1, m=4, rp=0 ---------> 49380
t=0, n=2, m=4, rp=0 ---------> 49380
t=1, n=2, m=4, rp=0 ---------> 49380
t=0, n=3, m=4, rp=0 ---------> -6.17164e+11
t=1, n=3, m=4, rp=0 ---------> 1.17758e+12
t=0, n=4, m=4, rp=0 ---------> -8.2648e+11
t=1, n=4, m=4, rp=0 ---------> 7.12278e+11
t=0, n=5, m=4, rp=0 ---------> -9.58502e+11
t=1, n=5, m=4, rp=0 ---------> 1.12928e+12
t=0, n=6, m=4, rp=0 ---------> 1.30982e+11
t=1, n=6, m=4, rp=0 ---------> 1.34e+12
t=0, n=7, m=4, rp=0 ---------> 3.10341e+10
t=1, n=7, m=4, rp=0 ---------> 9.93193e+11
t=0, n=8, m=4, rp=0 ---------> -8.75954e+11
t=1, n=8, m=4, rp=0 ---------> 8.80666e+11
t=0, n=9, m=4, rp=0 ---------> 1.10036e+11
t=1, n=9, m=4, rp=0 ---------> 1.70429e+12
t=0, n=10, m=4, rp=0 ---------> -4.55732e+10
t=1, n=10, m=4, rp=0 ---------> 7.6419e+11
t=0, n=11, m=4, rp=0 ---------> -6.76512e+11
t=1, n=11, m=4, rp=0 ---------> 9.98741e+11
t=0, n=12, m=4, rp=0 ---------> -3.87811e+11
t=1, n=12, m=4, rp=0 ---------> 6.61227e+11
t=0, n=13, m=4, rp=0 ---------> 3.43833e+11
t=1, n=13, m=4, rp=0 ---------> 6.64686e+11
t=0, n=14, m=4, rp=0 ---------> -8.4596e+11
t=1, n=14, m=4, rp=0 ---------> 6.73937e+11
t=0, n=15, m=4, rp=0 ---------> -1.04083e+12
t=1, n=15, m=4, rp=0 ---------> 1.22191e+12
t=0, n=16, m=4, rp=0 ---------> -1.07994e+12
t=1, n=16, m=4, rp=0 ---------> 6.12218e+11
t=0, n=17, m=4, rp=0 ---------> -1.02079e+12
t=1, n=17, m=4, rp=0 ---------> 7.24145e+10
t=0, n=18, m=4, rp=0 ---------> -6.18531e+11
t=1, n=18, m=4, rp=0 ---------> 7.22027e+11
t=0, n=19, m=4, rp=0 ---------> 1.54737e+11
t=1, n=19, m=4, rp=0 ---------> 7.95685e+11
t=0, n=20, m=4, rp=0 ---------> -6.14235e+11
t=1, n=20, m=4, rp=0 ---------> 9.90139e+11
t=0, n=21, m=4, rp=0 ---------> -9.30338e+11
t=1, n=21, m=4, rp=0 ---------> 2.28849e+10
t=0, n=22, m=4, rp=0 ---------> -7.61308e+11
t=1, n=22, m=4, rp=0 ---------> 2.18938e+12
t=0, n=23, m=4, rp=0 ---------> -8.78066e+11
t=1, n=23, m=4, rp=0 ---------> 2.32379e+11
t=0, n=24, m=4, rp=0 ---------> -1.42549e+12
t=1, n=24, m=4, rp=0 ---------> 1.78272e+12
t=0, n=25, m=4, rp=0 ---------> -7.63615e+11
t=1, n=25, m=4, rp=0 ---------> 1.1966e+12
